pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,if_SP,SP_InstruemntID
C2307-2309,20220908_0,C2307.XDCE,C2309.XDCE,C2307.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,48,33,0,
C2309-2311,20220908_0,C2309.XDCE,C2311.XDCE,C2309.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,100,40,0,
C2311-2401,20220908_0,C2311.XDCE,C2401.XDCE,C2311.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,30,33,0,
C2401-2403,20220908_0,C2401.XDCE,C2403.XDCE,C2401.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,30,40,0,
C2311-2309,20220908_0,C2311.XDCE,C2309.XDCE,C2311.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,40,47,0,
C2309-2307,20220908_0,C2309.XDCE,C2307.XDCE,C2307.XDCE,0,0,-48.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,133,0,33,20,0,
EG2307-2308,20220926_0,EG2307.XDCE,EG2308.XDCE,EG2307.XDCE,0,0,-25.0,-30.0,-30.0,-35.0,-35.0,-40.0,-40.0,-45.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,15,40,0,SP eg2307&eg2308
EG2308-2309,20220926_0,EG2308.XDCE,EG2309.XDCE,EG2309.XDCE,0,0,-21.0,-22.0,-23.0,-25.0,-28.0,-30.0,-35.0,-40.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,20,53,0,
EG2309-2310,20220926_0,EG2309.XDCE,EG2310.XDCE,EG2309.XDCE,0,0,-21.0,-22.0,-23.0,-24.0,-25.0,-30.0,-35.0,-40.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,20,53,0,
EG2310-2311,20220926_0,EG2310.XDCE,EG2311.XDCE,EG2310.XDCE,0,0,-20.0,-20.0,-20.0,-25.0,-28.0,-35.0,-40.0,-45.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,17,53,0,
EG2311-2312,20220926_0,EG2311.XDCE,EG2312.XDCE,EG2311.XDCE,0,0,-20.0,-20.0,-20.0,-25.0,-28.0,-35.0,-40.0,-45.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,17,53,0,
EG2312-2401,20220926_0,EG2312.XDCE,EG2401.XDCE,EG2312.XDCE,0,0,-20.0,-20.0,-20.0,-25.0,-28.0,-35.0,-40.0,-45.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,20,53,0,
EG2401-2402,20220926_0,EG2401.XDCE,EG2402.XDCE,EG2401.XDCE,0,0,-20.0,-30.0,-40.0,-50.0,-60.0,-70.0,-80.0,-90.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,50,53,0,
EG2402-2403,20220926_0,EG2402.XDCE,EG2403.XDCE,EG2402.XDCE,0,0,-45.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,1,1,1,400,0,50,53,0,
EG2307-2309,20220926_0,EG2307.XDCE,EG2309.XDCE,EG2307.XDCE,0,0,-65.0,-75.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,0,8,32,EG,0,1,1,400,0,20,53,0,
EG2307-2306,20220926_0,EG2307.XDCE,EG2306.XDCE,EG2306.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,EG,0,1,1,400,0,20,53,0,
PG2307-2308,20220905_0,PG2307.XDCE,PG2308.XDCE,PG2307.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,30,7,0,
PG2308-2309,20220905_0,PG2308.XDCE,PG2309.XDCE,PG2309.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2309-2310,20220905_0,PG2309.XDCE,PG2310.XDCE,PG2309.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2310-2311,20220905_0,PG2310.XDCE,PG2311.XDCE,PG2310.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2311-2312,20220905_0,PG2311.XDCE,PG2312.XDCE,PG2311.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2312-2401,20220905_0,PG2312.XDCE,PG2401.XDCE,PG2312.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2401-2402,20220905_0,PG2401.XDCE,PG2402.XDCE,PG2401.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
PG2402-2403,20220905_0,PG2402.XDCE,PG2403.XDCE,PG2402.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,PG,0,1,1,133,0,100,13,0,
RU2307-2308,20220906_1,RU2307.XSGE,RU2308.XSGE,RU2307.XSGE,0,0,-65.0,-75.0,-85.0,-95.0,-95.0,-110.0,-120.0,-130.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,200,0,9,20,0,
RU2308-2309,20220906_1,RU2308.XSGE,RU2309.XSGE,RU2309.XSGE,0,0,-60.0,-70.0,-80.0,-90.0,-100.0,-110.0,-120.0,-130.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,200,0,14,40,0,
RU2309-2310,20220906_1,RU2309.XSGE,RU2310.XSGE,RU2309.XSGE,0,0,-60.0,-60.0,-70.0,-80.0,-90.0,-100.0,-110.0,-120.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,200,0,14,40,0,
RU2310-2311,20220906_1,RU2310.XSGE,RU2311.XSGE,RU2310.XSGE,0,0,-55.0,-60.0,-65.0,-70.0,-80.0,-90.0,-100.0,-110.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,200,0,14,40,0,
RU2311-2401,20220906_1,RU2311.XSGE,RU2401.XSGE,RU2401.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,267,0,50,20,0,
RU2401-2403,20220906_1,RU2401.XSGE,RU2403.XSGE,RU2401.XSGE,0,0,-70.0,-80.0,-90.0,-100.0,-110.0,-130.0,-150.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,267,0,50,20,0,
RU2307-2309,20220906_1,RU2307.XSGE,RU2309.XSGE,RU2309.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,67,0,100,7,0,
RU2307-2311,20220906_1,RU2307.XSGE,RU2311.XSGE,RU2307.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,67,0,50,20,0,
RU2309-2311,20220906_1,RU2309.XSGE,RU2311.XSGE,RU2309.XSGE,0,0,-110.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,67,0,50,33,0,
RU2310-2309,20220906_1,RU2310.XSGE,RU2309.XSGE,RU2309.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,40,0,10,20,0,
L2307-2308,20220915_0,L2307.XDCE,L2308.XDCE,L2307.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2308-2309,20220915_0,L2308.XDCE,L2309.XDCE,L2309.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2309-2310,20220915_0,L2309.XDCE,L2310.XDCE,L2309.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2310-2311,20220915_0,L2310.XDCE,L2311.XDCE,L2310.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2311-2312,20220915_0,L2311.XDCE,L2312.XDCE,L2311.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2312-2401,20220915_0,L2312.XDCE,L2401.XDCE,L2312.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2401-2402,20220915_0,L2401.XDCE,L2402.XDCE,L2401.XDCE,0,0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2402-2403,20220915_0,L2402.XDCE,L2403.XDCE,L2402.XDCE,0,0,3.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,20,40,0,
L2403-2404,20220915_0,L2403.XDCE,L2404.XDCE,L2403.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,L,0,1,1,100,0,25,40,0,
HC2307-2308,20220907_1,HC2307.XSGE,HC2308.XSGE,HC2307.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,17,40,0,
HC2308-2309,20220907_1,HC2308.XSGE,HC2309.XSGE,HC2308.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,17,40,0,
HC2309-2310,20220907_1,HC2309.XSGE,HC2310.XSGE,HC2310.XSGE,0,0,20.0,10.0,0.0,-10.0,-20.0,-30.0,-40.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,20,20,0,
HC2310-2311,20220907_1,HC2310.XSGE,HC2311.XSGE,HC2310.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,17,40,0,
HC2311-2312,20220907_1,HC2311.XSGE,HC2312.XSGE,HC2311.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,26,40,0,
HC2312-2401,20220907_1,HC2312.XSGE,HC2401.XSGE,HC2312.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,26,40,0,
HC2401-2402,20220907_1,HC2401.XSGE,HC2402.XSGE,HC2401.XSGE,0,0,2.0,0.0,-10.0,-15.0,-20.0,-25.0,-30.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,HC,0,1,1,133,0,20,40,0,
